origin,QC1,QC2,QC3,QC4,QC5,QC6,LU1,LU2,LU3,LU4,LU5,LU6
QC1,0,50,100,150,200,250,150,200,250,300,350,400
QC2,250,0,50,100,150,200,200,150,200,250,300,350
QC3,300,250,0,50,100,150,250,200,150,200,250,300
QC4,350,300,250,0,50,100,300,250,200,150,200,250
QC5,400,350,300,250,0,50,350,300,250,200,150,200
QC6,450,400,350,350,250,0,400,350,300,250,200,150
LU1,150,200,250,300,350,400,0,250,300,350,400,450
LU2,200,150,200,250,300,350,50,0,250,300,350,400
LU3,250,200,150,200,250,300,100,50,0,250,300,350
LU4,300,250,200,150,200,250,150,100,50,0,250,300
LU5,350,300,250,200,150,200,200,150,100,50,0,250
LU6,400,350,300,250,200,150,250,200,150,100,50,0
