instance,q_t,num_qcs,num_tasks,qc,task_within_qc,processing_time,lu,printed_tuple
L01,2-4,2,4,QC1,1,76,LU1,"(76, 1)"
L01,2-4,2,4,QC1,2,50,LU1,"(50, 1)"
L01,2-4,2,4,QC2,1,59,LU1,"(59, 1)"
L01,2-4,2,4,QC2,2,56,LU1,"(56, 1)"
L02,2-4,2,4,QC3,1,68,LU3,"(68, 3)"
L02,2-4,2,4,QC3,2,58,LU3,"(58, 3)"
L02,2-4,2,4,QC4,1,49,LU3,"(49, 3)"
L02,2-4,2,4,QC4,2,70,LU3,"(70, 3)"
L03,2-4,2,4,QC5,1,76,LU5,"(76, 5)"
L03,2-4,2,4,QC5,2,49,LU5,"(49, 5)"
L03,2-4,2,4,QC6,1,59,LU5,"(59, 5)"
L03,2-4,2,4,QC6,2,37,LU5,"(37, 5)"
L04,2-6,2,6,QC1,1,38,LU2,"(38, 2)"
L04,2-6,2,6,QC1,2,52,LU2,"(52, 2)"
L04,2-6,2,6,QC1,3,70,LU1,"(70, 1)"
L04,2-6,2,6,QC2,1,68,LU1,"(68, 1)"
L04,2-6,2,6,QC2,2,55,LU1,"(55, 1)"
L04,2-6,2,6,QC2,3,48,LU2,"(48, 2)"
L05,2-6,2,6,QC3,1,60,LU3,"(60, 3)"
L05,2-6,2,6,QC3,2,60,LU3,"(60, 3)"
L05,2-6,2,6,QC3,3,42,LU3,"(42, 3)"
L05,2-6,2,6,QC4,1,50,LU4,"(50, 4)"
L05,2-6,2,6,QC4,2,64,LU4,"(64, 4)"
L05,2-6,2,6,QC4,3,58,LU4,"(58, 4)"
L06,2-6,2,6,QC5,1,41,LU5,"(41, 5)"
L06,2-6,2,6,QC5,2,30,LU6,"(30, 6)"
L06,2-6,2,6,QC5,3,36,LU5,"(36, 5)"
L06,2-6,2,6,QC6,1,63,LU6,"(63, 6)"
L06,2-6,2,6,QC6,2,79,LU6,"(79, 6)"
L06,2-6,2,6,QC6,3,72,LU5,"(72, 5)"
L07,2-8,2,8,QC3,1,72,LU3,"(72, 3)"
L07,2-8,2,8,QC3,2,59,LU4,"(59, 4)"
L07,2-8,2,8,QC3,3,56,LU4,"(56, 4)"
L07,2-8,2,8,QC3,4,80,LU3,"(80, 3)"
L07,2-8,2,8,QC4,1,80,LU4,"(80, 4)"
L07,2-8,2,8,QC4,2,52,LU3,"(52, 3)"
L07,2-8,2,8,QC4,3,78,LU4,"(78, 4)"
L07,2-8,2,8,QC4,4,38,LU3,"(38, 3)"
L08,2-8,2,8,QC5,1,63,LU6,"(63, 6)"
L08,2-8,2,8,QC5,2,38,LU5,"(38, 5)"
L08,2-8,2,8,QC5,3,62,LU6,"(62, 6)"
L08,2-8,2,8,QC5,4,30,LU5,"(30, 5)"
L08,2-8,2,8,QC6,1,77,LU6,"(77, 6)"
L08,2-8,2,8,QC6,2,79,LU5,"(79, 5)"
L08,2-8,2,8,QC6,3,66,LU6,"(66, 6)"
L08,2-8,2,8,QC6,4,66,LU5,"(66, 5)"
L09,2-10,2,10,QC2,1,42,LU2,"(42, 2)"
L09,2-10,2,10,QC2,2,38,LU2,"(38, 2)"
L09,2-10,2,10,QC2,3,47,LU3,"(47, 3)"
L09,2-10,2,10,QC2,4,76,LU2,"(76, 2)"
L09,2-10,2,10,QC2,5,47,LU2,"(47, 2)"
L09,2-10,2,10,QC3,1,37,LU2,"(37, 2)"
L09,2-10,2,10,QC3,2,60,LU3,"(60, 3)"
L09,2-10,2,10,QC3,3,71,LU3,"(71, 3)"
L09,2-10,2,10,QC3,4,68,LU2,"(68, 2)"
L09,2-10,2,10,QC3,5,31,LU3,"(31, 3)"
L10,2-10,2,10,QC4,1,54,LU4,"(54, 4)"
L10,2-10,2,10,QC4,2,38,LU5,"(38, 5)"
L10,2-10,2,10,QC4,3,57,LU4,"(57, 4)"
L10,2-10,2,10,QC4,4,47,LU4,"(47, 4)"
L10,2-10,2,10,QC4,5,79,LU5,"(79, 5)"
L10,2-10,2,10,QC5,1,37,LU5,"(37, 5)"
L10,2-10,2,10,QC5,2,55,LU4,"(55, 4)"
L10,2-10,2,10,QC5,3,46,LU5,"(46, 5)"
L10,2-10,2,10,QC5,4,44,LU4,"(44, 4)"
L10,2-10,2,10,QC5,5,31,LU5,"(31, 5)"
L11,2-12,2,12,QC1,1,64,LU1,"(64, 1)"
L11,2-12,2,12,QC1,2,63,LU1,"(63, 1)"
L11,2-12,2,12,QC1,3,38,LU2,"(38, 2)"
L11,2-12,2,12,QC1,4,62,LU1,"(62, 1)"
L11,2-12,2,12,QC1,5,51,LU1,"(51, 1)"
L11,2-12,2,12,QC1,6,30,LU2,"(30, 2)"
L11,2-12,2,12,QC2,1,47,LU2,"(47, 2)"
L11,2-12,2,12,QC2,2,77,LU1,"(77, 1)"
L11,2-12,2,12,QC2,3,79,LU2,"(79, 2)"
L11,2-12,2,12,QC2,4,66,LU2,"(66, 2)"
L11,2-12,2,12,QC2,5,75,LU2,"(75, 2)"
L11,2-12,2,12,QC2,6,66,LU1,"(66, 1)"
L12,2-12,2,12,QC3,1,56,LU4,"(56, 4)"
L12,2-12,2,12,QC3,2,55,LU3,"(55, 3)"
L12,2-12,2,12,QC3,3,71,LU3,"(71, 3)"
L12,2-12,2,12,QC3,4,48,LU4,"(48, 4)"
L12,2-12,2,12,QC3,5,30,LU3,"(30, 3)"
L12,2-12,2,12,QC3,6,68,LU3,"(68, 3)"
L12,2-12,2,12,QC4,1,60,LU3,"(60, 3)"
L12,2-12,2,12,QC4,2,79,LU3,"(79, 3)"
L12,2-12,2,12,QC4,3,47,LU4,"(47, 4)"
L12,2-12,2,12,QC4,4,62,LU4,"(62, 4)"
L12,2-12,2,12,QC4,5,49,LU4,"(49, 4)"
L12,2-12,2,12,QC4,6,54,LU4,"(54, 4)"
L13,2-14,2,14,QC1,1,59,LU2,"(59, 2)"
L13,2-14,2,14,QC1,2,51,LU1,"(51, 1)"
L13,2-14,2,14,QC1,3,55,LU3,"(55, 3)"
L13,2-14,2,14,QC1,4,41,LU2,"(41, 2)"
L13,2-14,2,14,QC1,5,31,LU2,"(31, 2)"
L13,2-14,2,14,QC1,6,64,LU2,"(64, 2)"
L13,2-14,2,14,QC1,7,43,LU3,"(43, 3)"
L13,2-14,2,14,QC2,1,78,LU1,"(78, 1)"
L13,2-14,2,14,QC2,2,41,LU3,"(41, 3)"
L13,2-14,2,14,QC2,3,67,LU2,"(67, 2)"
L13,2-14,2,14,QC2,4,32,LU3,"(32, 3)"
L13,2-14,2,14,QC2,5,80,LU2,"(80, 2)"
L13,2-14,2,14,QC2,6,75,LU3,"(75, 3)"
L13,2-14,2,14,QC2,7,63,LU1,"(63, 1)"
L14,2-14,2,14,QC4,1,67,LU5,"(67, 5)"
L14,2-14,2,14,QC4,2,35,LU4,"(35, 4)"
L14,2-14,2,14,QC4,3,33,LU4,"(33, 4)"
L14,2-14,2,14,QC4,4,39,LU3,"(39, 3)"
L14,2-14,2,14,QC4,5,54,LU5,"(54, 5)"
L14,2-14,2,14,QC4,6,31,LU3,"(31, 3)"
L14,2-14,2,14,QC4,7,49,LU4,"(49, 4)"
L14,2-14,2,14,QC5,1,52,LU3,"(52, 3)"
L14,2-14,2,14,QC5,2,66,LU5,"(66, 5)"
L14,2-14,2,14,QC5,3,69,LU3,"(69, 3)"
L14,2-14,2,14,QC5,4,35,LU5,"(35, 5)"
L14,2-14,2,14,QC5,5,38,LU5,"(38, 5)"
L14,2-14,2,14,QC5,6,41,LU4,"(41, 4)"
L14,2-14,2,14,QC5,7,71,LU5,"(71, 5)"
L15,2-16,2,16,QC2,1,64,LU2,"(64, 2)"
L15,2-16,2,16,QC2,2,46,LU1,"(46, 1)"
L15,2-16,2,16,QC2,3,77,LU3,"(77, 3)"
L15,2-16,2,16,QC2,4,78,LU1,"(78, 1)"
L15,2-16,2,16,QC2,5,59,LU2,"(59, 2)"
L15,2-16,2,16,QC2,6,37,LU1,"(37, 1)"
L15,2-16,2,16,QC2,7,61,LU2,"(61, 2)"
L15,2-16,2,16,QC2,8,70,LU2,"(70, 2)"
L15,2-16,2,16,QC3,1,57,LU1,"(57, 1)"
L15,2-16,2,16,QC3,2,66,LU2,"(66, 2)"
L15,2-16,2,16,QC3,3,32,LU2,"(32, 2)"
L15,2-16,2,16,QC3,4,45,LU1,"(45, 1)"
L15,2-16,2,16,QC3,5,74,LU1,"(74, 1)"
L15,2-16,2,16,QC3,6,31,LU2,"(31, 2)"
L15,2-16,2,16,QC3,7,40,LU3,"(40, 3)"
L15,2-16,2,16,QC3,8,72,LU3,"(72, 3)"
L16,2-16,2,16,QC3,1,69,LU2,"(69, 2)"
L16,2-16,2,16,QC3,2,40,LU3,"(40, 3)"
L16,2-16,2,16,QC3,3,45,LU2,"(45, 2)"
L16,2-16,2,16,QC3,4,43,LU4,"(43, 4)"
L16,2-16,2,16,QC3,5,66,LU3,"(66, 3)"
L16,2-16,2,16,QC3,6,60,LU2,"(60, 2)"
L16,2-16,2,16,QC3,7,50,LU2,"(50, 2)"
L16,2-16,2,16,QC3,8,80,LU4,"(80, 4)"
L16,2-16,2,16,QC4,1,37,LU3,"(37, 3)"
L16,2-16,2,16,QC4,2,78,LU4,"(78, 4)"
L16,2-16,2,16,QC4,3,48,LU2,"(48, 2)"
L16,2-16,2,16,QC4,4,61,LU2,"(61, 2)"
L16,2-16,2,16,QC4,5,75,LU3,"(75, 3)"
L16,2-16,2,16,QC4,6,39,LU4,"(39, 4)"
L16,2-16,2,16,QC4,7,69,LU3,"(69, 3)"
L16,2-16,2,16,QC4,8,43,LU2,"(43, 2)"
L17,3-6,3,6,QC1,1,76,LU1,"(76, 1)"
L17,3-6,3,6,QC1,2,37,LU1,"(37, 1)"
L17,3-6,3,6,QC2,1,36,LU2,"(36, 2)"
L17,3-6,3,6,QC2,2,55,LU2,"(55, 2)"
L17,3-6,3,6,QC3,1,57,LU1,"(57, 1)"
L17,3-6,3,6,QC3,2,50,LU2,"(50, 2)"
L18,3-6,3,6,QC4,1,64,LU3,"(64, 3)"
L18,3-6,3,6,QC4,2,73,LU3,"(73, 3)"
L18,3-6,3,6,QC5,1,71,LU4,"(71, 4)"
L18,3-6,3,6,QC5,2,47,LU4,"(47, 4)"
L18,3-6,3,6,QC6,1,63,LU4,"(63, 4)"
L18,3-6,3,6,QC6,2,56,LU3,"(56, 3)"
L19,3-9,3,9,QC2,1,39,LU2,"(39, 2)"
L19,3-9,3,9,QC2,2,31,LU3,"(31, 3)"
L19,3-9,3,9,QC2,3,51,LU4,"(51, 4)"
L19,3-9,3,9,QC3,1,34,LU3,"(34, 3)"
L19,3-9,3,9,QC3,2,78,LU2,"(78, 2)"
L19,3-9,3,9,QC3,3,60,LU4,"(60, 4)"
L19,3-9,3,9,QC4,1,78,LU4,"(78, 4)"
L19,3-9,3,9,QC4,2,66,LU3,"(66, 3)"
L19,3-9,3,9,QC4,3,59,LU2,"(59, 2)"
L20,3-9,3,9,QC3,1,74,LU3,"(74, 3)"
L20,3-9,3,9,QC3,2,38,LU3,"(38, 3)"
L20,3-9,3,9,QC3,3,48,LU3,"(48, 3)"
L20,3-9,3,9,QC4,1,42,LU4,"(42, 4)"
L20,3-9,3,9,QC4,2,65,LU4,"(65, 4)"
L20,3-9,3,9,QC4,3,52,LU5,"(52, 5)"
L20,3-9,3,9,QC5,1,32,LU5,"(32, 5)"
L20,3-9,3,9,QC5,2,44,LU5,"(44, 5)"
L20,3-9,3,9,QC5,3,65,LU3,"(65, 3)"
L21,3-12,3,12,QC1,1,71,LU1,"(71, 1)"
L21,3-12,3,12,QC1,2,60,LU1,"(60, 1)"
L21,3-12,3,12,QC1,3,54,LU2,"(54, 2)"
L21,3-12,3,12,QC1,4,54,LU1,"(54, 1)"
L21,3-12,3,12,QC2,1,30,LU2,"(30, 2)"
L21,3-12,3,12,QC2,2,78,LU1,"(78, 1)"
L21,3-12,3,12,QC2,3,72,LU2,"(72, 2)"
L21,3-12,3,12,QC2,4,57,LU2,"(57, 2)"
L21,3-12,3,12,QC3,1,72,LU3,"(72, 3)"
L21,3-12,3,12,QC3,2,64,LU3,"(64, 3)"
L21,3-12,3,12,QC3,3,67,LU2,"(67, 2)"
L21,3-12,3,12,QC3,4,76,LU3,"(76, 3)"
L22,3-12,3,12,QC4,1,52,LU5,"(52, 5)"
L22,3-12,3,12,QC4,2,33,LU6,"(33, 6)"
L22,3-12,3,12,QC4,3,77,LU4,"(77, 4)"
L22,3-12,3,12,QC4,4,34,LU5,"(34, 5)"
L22,3-12,3,12,QC5,1,32,LU6,"(32, 6)"
L22,3-12,3,12,QC5,2,79,LU5,"(79, 5)"
L22,3-12,3,12,QC5,3,74,LU5,"(74, 5)"
L22,3-12,3,12,QC5,4,63,LU4,"(63, 4)"
L22,3-12,3,12,QC6,1,80,LU6,"(80, 6)"
L22,3-12,3,12,QC6,2,32,LU6,"(32, 6)"
